latitude,longitude,depth,d13C,Core,d18O
19.000,118.730,3761.000,0.120,GIK17926_2,2.6800
19.030,116.460,2665.000,0.260,GIK17934_1,2.5700
19.330,113.200,329.000,1.550,GIK17942_1,1.0000
19.370,-19.930,3314.000,0.410,GIK12329_2,2.5450
19.410,118.850,3438.000,1.840,GIK17924_1,-2.1700
19.530,116.230,1972.000,0.270,GIK17933_2,2.6300
19.790,117.540,2835.000,0.150,GIK17938_1,2.5650
19.850,119.050,2980.000,0.180,GIK17925_2,2.5100
19.950,116.040,1365.000,0.270,GIK17932_1,2.3800
19.970,117.460,2473.000,0.170,GIK17939_1,2.4600
20.100,115.960,1005.000,0.280,GIK17931_1,2.0700
20.100,115.960,1005.000,0.280,GIK17931_1,2.0700
20.120,117.380,1728.000,0.190,GIK17940_1,2.5200
20.330,115.780,629.000,0.620,GIK17930_1,1.3000
20.680,115.700,371.000,1.530,GIK17929_1,1.2300
21.150,-18.570,2778.000,0.820,GIK12328_5,2.8367
21.520,118.480,2201.000,-0.140,GIK17941_1,2.7050
21.520,118.480,2201.000,-0.135,GIK17941_1,2.7050
22.990,-17.330,787.000,0.920,GIK12325_4,1.7100
23.040,-17.410,1024.000,1.200,GIK12326_2,1.8700
23.130,-17.740,2032.000,0.760,GIK12327_2,2.5650
23.130,-17.740,2032.000,0.760,GIK12327_2,2.5650
23.500,-18.720,3075.000,0.720,GIK12310_1,2.6700
23.500,-18.720,3075.000,1.160,GIK12310_1,2.6700
26.650,-15.050,2090.000,0.960,GIK12308_2,2.5600
26.650,-15.050,2090.000,1.150,GIK12308_2,2.4100
26.840,-15.110,2849.000,0.840,GIK12309_1,2.5600
26.840,-15.110,2849.000,1.140,GIK12309_1,2.5600
27.010,-18.990,3849.000,0.480,GIK15637_1,2.5850
27.040,-15.050,2896.000,0.830,GIK12301_5,2.8450
27.040,-15.050,2896.000,1.080,GIK12301_5,2.8450
29.170,-15.450,3609.000,0.960,GeoB4241_11,2.5700
29.170,-12.090,1024.000,0.840,GIK15627_3,1.7600
30.630,-12.400,2324.000,1.050,GeoB4216_1,2.4200
31.620,129.350,700.000,0.930,CH84_27,1.3600
32.870,-119.970,1194.000,-0.040,EW9504_09,2.3000
33.190,-9.830,3816.000,0.950,GIK15651_4,2.6000
33.470,-12.760,4305.000,0.850,GIK15678_1,2.5700
34.100,-10.830,4410.000,0.880,GIK15677_1,2.6300
34.760,-8.850,3515.000,1.100,GIK15676_2,2.5600
34.890,-7.820,2001.000,1.040,GIK15669_2,2.0800
34.960,-7.120,803.000,1.490,GIK15666_6,2.5400
35.290,-6.830,684.000,-0.080,MD04_2806,1.1450
35.730,13.180,1486.000,1.570,CS70_5,3.1500
37.110,-32.290,2655.000,1.080,KF09,2.1900
37.580,-31.840,2690.000,1.170,KF13,2.3400
38.000,-31.130,3050.000,1.130,KF16,2.1600
38.080,-30.600,2184.000,1.070,KS04,2.0600
40.530,-10.430,3780.000,0.820,NO82_13,1.8550
41.490,-9.720,2160.000,1.100,PO200_10_28_1,2.5000
42.430,3.700,791.000,0.450,BBLL3_MC2,1.2000
42.460,3.500,919.000,0.850,BBLL2_MC1,1.7850
42.460,3.500,922.000,0.540,BBLL3_MC1,1.4200
45.380,-4.650,4320.000,0.600,SU81_50,2.0200
45.630,-22.750,3625.000,0.820,NO79_28,2.2450
45.630,-22.750,3625.000,0.815,NO79_28,2.2450
50.420,167.730,3300.000,0.320,Vi_37GC,3.0000
50.670,-19.430,3850.000,0.725,GIK23417_1,2.4400
50.940,168.110,3670.000,0.320,Vi_35GC,3.0000
51.050,168.100,3700.000,0.340,6_TOW_015GGC,2.7900
51.060,168.040,3416.000,0.020,6_TOW_012GGC,2.9100
51.060,168.070,3516.000,0.330,6_TOW_013GGC,2.9200
51.060,168.070,3631.000,0.220,6_TOW_014GGC,2.9700
51.060,168.140,3816.000,0.220,6_TOW_016GGC,2.7400
51.070,167.980,3225.000,0.110,6_TOW_011PC,3.0200
51.070,168.010,3296.000,0.430,6_TOW_011GGC,3.2350
51.080,167.950,3041.000,-0.075,6_TOW_007GGC,3.0650
51.080,167.980,3160.000,0.210,6_TOW_008GGC,3.0500
51.090,167.910,2920.000,0.290,6_TOW_006GGC,2.7800
51.110,167.830,2610.000,0.050,6_TOW_003GGC,2.8300
51.110,167.900,2804.000,0.240,6_TOW_005GGC,3.0700
51.120,167.790,2507.000,-0.140,6_TOW_002GGC,3.1000
51.570,-20.000,3616.000,0.780,GIK23416_4,2.6400
52.150,-12.770,704.000,1.160,GeoB6730_1,1.4550
52.150,-12.770,711.000,1.600,GeoB6729_1,2.9467
52.150,-12.770,711.000,1.597,GeoB6729_1,2.9467
52.150,-12.770,749.000,1.160,GeoB6728_1,3.1850
52.150,-12.770,758.000,1.330,GeoB6719_1,3.3550
52.150,-12.770,794.000,1.480,GeoB6727_2,3.3700
52.160,-12.770,820.000,1.410,GeoB6725_1,3.5850
52.160,-12.750,900.000,1.280,GeoB6718_2,2.6000
52.533,-21.970,3955.000,0.775,SU90_39,2.5250
52.550,-20.330,2841.000,1.138,GIK23418_8,2.7725
52.990,164.640,2970.000,0.260,Vi_26BC,2.9300
53.010,164.650,2980.000,0.170,RAMA_44P,2.5300
53.180,-19.150,2472.000,1.060,GIK23415_9,2.5550
