latitude,longitude,depth,d13C,dataset,datasetName,Core,coreflag,speciesflag,speciesName,depthtop,depthbottom,adjdepthmean,age_calkaBP,d18O,Author,FileName,AdditionalNotes,RetrievalNb, sitename,variabledescription,citation,References,datadoi,DataSource,Date,Cruise
-25.25,12.02,3506,0.69,1,P14,GeoB3722-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mollenhauer et al. 2002,NaN,NaN,NaN,NaN
-24.18,-12.02,3486,0.98,1,P14,GeoB5121-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-24.14,-14.04,3291,1.03,1,P14,GeoB5115-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-23.32,12.38,1967,0.64,1,P14,GeoB1711-4,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Wefer 1999,NaN,NaN,NaN,NaN
-23,166.15,2470,0.74,1,P14,MD06-3018,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Russon, T., Elliot, M., Kissel, C., Cabioch, G., De Deckker, P., & Correge, T. (2009). Middle-late Pleistocene deep water circulation in the southwest subtropical Pacific. Paleoceanography, 24(4). ",NaN,NaN,NaN,NaN
-22.91,6.03,2490,0.9,1,P14,GeoB1032-2,1,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Wefer 1996,NaN,NaN,NaN,NaN
-22.52,-39.9,1890,1.2,1,P14,CAM-61PC,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-22.45,12.36,1683,0.22,1,P14,IOW226920-3,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mollenhauer et al. 2002,NaN,NaN,NaN,NaN
-21.88,7.1,3105,0.76,1,P14,GeoB1031-4,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sarnthein et al. 1994,NaN,NaN,NaN,NaN
-20.9,112.33,1432,0.74,1,P14,RS53-GC11,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
