latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-74.069999999999993,-27.690000000000001,2482.000000000000000,0.430000000000000,M12,1599-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.049999999999997,-31.760000000000002,1674.000000000000000,0.160000000000000,M12,1605-3,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.000000000000000,-27.829999999999998,2555.000000000000000,0.250000000000000,M12,1603-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-73.989999999999995,-35.159999999999997,2314.000000000000000,0.900000000000000,M12,1496-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-73.969999999999999,-35.920000000000002,2038.000000000000000,1.010000000000000,M12,1497-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-73.909999999999997,-22.800000000000001,242.000000000000000,1.270000000000000,M12,1281-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-73.819999999999993,-24.199999999999999,1711.000000000000000,0.470000000000000,M12,1501-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-73.719999999999999,-28.699999999999999,2813.000000000000000,0.410000000000000,M12,1602-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-73.599999999999994,-35.320000000000000,2500.000000000000000,0.910000000000000,M12,1414-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-73.500000000000000,-34.009999999999998,2933.000000000000000,0.580000000000000,M12,1606-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-73.500000000000000,-32.020000000000003,2844.000000000000000,0.570000000000000,M12,1499-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-73.489999999999995,-35.530000000000001,2825.000000000000000,0.490000000000000,M12,1498-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-73.420000000000002,-82.890000000000001,578.000000000000000,-0.270000000000000,M12,2532-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-73.200000000000003,-20.640000000000001,515.000000000000000,1.210000000000000,M12,1267-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-73.170000000000002,-20.670000000000002,1529.000000000000000,0.780000000000000,M12,1266-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-72.930000000000007,-21.520000000000000,3278.000000000000000,0.540000000000000,M12,1283-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-72.870000000000005,-19.300000000000001,388.000000000000000,0.890000000000000,M12,1471-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-72.829999999999998,-72.579999999999998,757.000000000000000,-0.120000000000000,M12,2531-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-72.500000000000000,-17.469999999999999,242.000000000000000,1.400000000000000,M12,1284-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
